sAddress,rAddress,sMACs,rMACs,sIPs,rIPs,protocol,startDate,endDate,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg,IT_B_Label,IT_M_Label,NST_B_Label,NST_M_Label
b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,,,ARP,2023-03-10 10:29:34.078825,2023-03-10 10:29:34.078829,1678440574.078825,1678440574.078829,0.0,4e-06,5e-06,4,0,240,0,60,,60,,60.0,,379963582.668,0.0,0,0,0,,0,,0.0,,1.3510386149088542e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,,,ARP,2023-03-10 10:29:35.102354,2023-03-10 10:29:35.102358,1678440575.102354,1678440575.102358,1.023529,1.023533,5e-06,4,0,240,0,60,,60,,60.0,,379963582.668,0.0,0,0,0,,0,,0.0,,1.3510386149088542e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,,,ARP,2023-03-10 10:29:36.126359,2023-03-10 10:29:36.126364,1678440576.126359,1678440576.126364,2.047534,2.047539,6e-06,4,0,240,0,60,,60,,60.0,,319638267.443,0.0,0,0,0,,0,,0.0,,1.6689300537109375e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,,,ARP,2023-03-10 10:29:40.222634,2023-03-10 10:29:40.222638,1678440580.222634,1678440580.222638,6.143809,6.143813,5e-06,4,0,240,0,60,,60,,60.0,,398778966.584,0.0,0,0,0,,0,,0.0,,1.2715657552083333e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,,,ARP,2023-03-10 10:29:41.246264,2023-03-10 10:29:41.246268,1678440581.246264,1678440581.246268,7.167439,7.167443,5e-06,4,0,240,0,60,,60,,60.0,,379963582.668,0.0,0,0,0,,0,,0.0,,1.3510386149088542e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
198.18.134.99,224.0.0.22,00:24:9b:6d:b8:89,01:00:5e:00:00:16,198.18.134.99,224.0.0.22,IPV4-2,2023-03-10 10:29:34.966040,2023-03-10 10:29:34.966040,1678440574.96604,1678440574.96604,0.887215,0.887215,1e-06,1,0,40,0,40,,40,,40.0,,320000000.0,0.0,8,0,8,,8,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
198.18.134.2,224.0.0.22,00:07:7c:88:6e:63,01:00:5e:00:00:16,198.18.134.2,224.0.0.22,IPV4-2,2023-03-10 10:29:34.967837,2023-03-10 10:29:34.967837,1678440574.967837,1678440574.967837,0.889012,0.889012,1e-06,1,0,40,0,40,,40,,40.0,,320000000.0,0.0,8,0,8,,8,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,,,ARP,2023-03-10 10:29:42.270109,2023-03-10 10:29:42.270114,1678440582.270109,1678440582.270114,8.191284,8.191289,6e-06,4,0,240,0,60,,60,,60.0,,319638267.443,0.0,0,0,0,,0,,0.0,,1.6689300537109375e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,,,ARP,2023-03-10 10:29:46.366482,2023-03-10 10:29:46.366486,1678440586.366482,1678440586.366486,12.287657,12.287661,5e-06,4,0,240,0,60,,60,,60.0,,379963582.668,0.0,0,0,0,,0,,0.0,,1.3510386149088542e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,,,ARP,2023-03-10 10:29:47.390157,2023-03-10 10:29:47.390161,1678440587.390157,1678440587.390161,13.311332,13.311336,5e-06,4,0,240,0,60,,60,,60.0,,379963582.668,0.0,0,0,0,,0,,0.0,,1.3510386149088542e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
