sAddress,rAddress,sMACs,rMACs,sIPs,rIPs,protocol,startDate,endDate,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg,IT_B_Label,IT_M_Label,NST_B_Label,NST_M_Label
b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,,,ARP,2023-03-10 10:29:34.078826,2023-03-10 10:29:34.078828,1678440574.078826,1678440574.078828,0.0,2e-06,3e-06,2,0,120,0,60,,60,,60.0,,305171977.241,0.0,0,0,0,,0,,0.0,,2.1457672119140625e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,,,ARP,2023-03-10 10:29:35.102355,2023-03-10 10:29:35.102357,1678440575.102355,1678440575.102357,1.023529,1.023531,3e-06,2,0,120,0,60,,60,,60.0,,330197757.904,0.0,0,0,0,,0,,0.0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,,,ARP,2023-03-10 10:29:36.126361,2023-03-10 10:29:36.126363,1678440576.126361,1678440576.126363,2.047535,2.047537,3e-06,2,0,120,0,60,,60,,60.0,,305171977.241,0.0,0,0,0,,0,,0.0,,2.1457672119140625e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,,,ARP,2023-03-10 10:29:40.222635,2023-03-10 10:29:40.222637,1678440580.222635,1678440580.222637,6.143809,6.143811,3e-06,2,0,120,0,60,,60,,60.0,,330197757.904,0.0,0,0,0,,0,,0.0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,,,ARP,2023-03-10 10:29:41.246266,2023-03-10 10:29:41.246268,1678440581.246266,1678440581.246268,7.16744,7.167442,3e-06,2,0,120,0,60,,60,,60.0,,305171977.241,0.0,0,0,0,,0,,0.0,,2.1457672119140625e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,,,ARP,2023-03-10 10:29:42.270112,2023-03-10 10:29:42.270113,1678440582.270112,1678440582.270113,8.191286,8.191287,2e-06,2,0,120,0,60,,60,,60.0,,491381798.869,0.0,0,0,0,,0,,0.0,,9.5367431640625e-07,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,,,ARP,2023-03-10 10:29:46.366484,2023-03-10 10:29:46.366486,1678440586.366484,1678440586.366486,12.287658,12.28766,3e-06,2,0,120,0,60,,60,,60.0,,305171977.241,0.0,0,0,0,,0,,0.0,,2.1457672119140625e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,,,ARP,2023-03-10 10:29:47.390159,2023-03-10 10:29:47.390160,1678440587.390159,1678440587.39016,13.311333,13.311334,2e-06,2,0,120,0,60,,60,,60.0,,437937644.872,0.0,0,0,0,,0,,0.0,,1.1920928955078125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,,,ARP,2023-03-10 10:29:48.414038,2023-03-10 10:29:48.414039,1678440588.414038,1678440588.414039,14.335212,14.335213,2e-06,2,0,120,0,60,,60,,60.0,,491381798.869,0.0,0,0,0,,0,,0.0,,9.5367431640625e-07,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
198.18.134.1,224.0.0.1,00:07:7c:88:6e:83,01:00:5e:00:00:01,198.18.134.1,224.0.0.1,IPV4-2,2023-03-10 10:29:40.548170,2023-03-10 10:29:40.548170,1678440580.54817,1678440580.54817,6.469344,6.469344,1e-06,1,0,36,0,36,,36,,36.0,,288000000.0,0.0,4,0,4,,4,,4.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0,Normal,0,Normal
